gene_symbol,PEMN_1,PEMN_2,PEMN_3,PEMN_4,PIMN_1,PIMN_2,PIMN_3,PIMN_4,PIMN_5,PIN_1,PIN_2,PSN,PSVN_1,PSVN_2,Glia_1,Glia_2,Glia_3,Glia_4,Glia_5,Glia_6
ABHD15,8826,14351,11675,1946,8596,5523,10527,14894,2690,2053,8004,15683,1101,1295,11380,14399,14818,12240,9756,11728
ABHD17A,2927,12587,6523,4671,10704,521,13705,14860,4395,5948,12621,9757,12530,14647,1864,6255,2589,3334,4799,5551
ABHD17B,14671,13597,11572,8285,3836,9824,6712,13695,11295,6125,2610,12144,5141,8792,3995,5375,4871,3797,4682,3156
ABHD17C,9853,9542,10052,4307,13152,14767,10119,10657,10510,13194,7736,7461,2687,4337,5545,6696,2146,5667,3007,2903
ABHD2,2972,2408,10875,1490,9465,4473,14124,15309,7979,7438,7070,13151,2639,6625,6575,3932,3850,3090,15148,15014
ABHD3,4507,2994,7334,9350,7993,10989,12350,7115,15925,13322,12246,2194,4778,7331,4956,6294,5078,6630,7902,4634
ABHD4,1780,6047,4421,10117,10551,1480,9924,13645,468,14813,5478,6853,6770,15737,7912,11049,8662,8654,9504,9499
ABHD5,956,2301,5628,7809,14405,7049,7979,13267,13806,14596,6043,11019,10734,5538,3600,7156,4389,4880,7686,8330
ABHD6,14284,14100,11581,14638,5730,10457,6410,6249,10149,11299,15454,2247,3585,1143,6080,7014,5801,6233,4256,4419
ABHD8,11899,11997,15551,8754,7276,13207,9058,3780,8674,10443,12969,5324,6298,5106,2813,3700,4043,7673,3318,3499
ABI1,204,1523,6109,3021,3503,4218,8456,13385,10777,12025,10287,12789,5803,10766,15818,2021,13662,1559,6723,11886
ABI2,10915,10380,12372,9145,14928,5443,9862,12985,10130,8792,12062,8154,6549,8596,2644,45,410,1430,6320,8159
ABI3,16135,13719,4546,9222,634,9592,5561,345,16126,12734,693,2861,7342,835,12024,14467,14745,14590,13204,11044
ABI3BP,14465,10469,1598,11525,16181,10151,3999,16208,13748,1392,800,2922,2237,8696,2559,15815,3842,4372,7062,5910
ABL1,4194,5515,5612,13218,11635,11449,5349,9788,14683,12166,14610,4983,4871,7733,2083,1018,750,546,13659,6608
ABL2,8864,4584,7980,9783,6946,7439,8919,10810,11020,11378,11114,11545,12856,9349,1282,6699,3490,651,8022,689
ABLIM1,3238,1998,5006,8391,3445,4994,8505,3998,7548,11029,14509,14374,14203,10919,3999,13455,4778,2979,10622,4688
ABLIM2,10556,4216,4564,10065,15702,11522,9306,14310,14444,6450,11282,4434,14339,11298,150,848,260,2630,776,889
ABLIM3,9586,8941,12920,10433,11817,2561,6626,7728,7458,12678,13355,11672,6765,6268,4881,8437,6673,3600,2736,1424
ABR,11663,12754,8476,12498,15272,10370,9808,14313,12404,6476,8542,4491,12398,10173,75,291,77,1374,1762,3489
ABRA,2750,1131,3061,11878,3720,4675,329,1794,11216,13899,15961,10695,3245,2375,13429,13928,13974,15547,13238,13197
ABRACL,3033,3380,6415,7674,5315,1626,11195,3110,5463,9165,3642,15032,4176,15467,11296,12208,12558,11072,12353,12237
ABT1,8050,15641,10267,306,8697,3283,15443,10031,3786,1412,5296,14469,3105,9055,10812,12853,10376,10816,12339,10287
ABTB1,7484,2375,7794,6328,11364,8420,4227,8418,1877,5646,15164,13569,7980,14876,3718,8763,5728,5302,6606,6945
ABTB2,16218,16260,1579,5744,11540,12348,2755,5065,7536,4194,1416,2213,2709,2896,6341,12804,13929,10840,14961,8985
ACAA1,7724,6780,11769,13525,10939,929,11180,7768,7584,5040,9981,14221,11613,8594,2347,3899,4095,6087,6100,4967
ACAA2,3157,11666,13113,1647,3645,1770,15372,11076,1318,3506,5243,11338,2900,15273,11284,11358,12148,10233,11052,10894
ACACA,12567,6817,5422,11744,14562,11076,7595,11820,13306,11875,12753,4579,12902,8569,1303,989,749,2232,186,169
ACACB,5605,1844,2515,5947,14716,10559,11570,14369,16026,8148,6868,1997,11994,14670,7145,7986,3777,3472,3054,5289
ACAD10,14711,6729,8429,7254,4848,15438,3780,5016,12283,14088,11490,3612,10256,5463,5802,4724,2946,8408,1625,3588
ACAD8,2718,2678,15158,5469,12700,4655,6316,5154,5126,3424,13105,8163,13497,15816,7129,6364,6597,5279,7163,9135
ACAD9,7054,10461,13557,11955,6546,6059,11529,7732,5246,10309,15261,5572,9609,9334,3991,3407,5256,3635,1562,1910
ACADL,9245,2132,6017,13875,861,15238,647,1418,7526,15068,3927,6837,7963,11422,14917,5940,7865,14578,7575,12368
ACADM,9868,12726,8954,9662,10003,8166,4447,6842,8953,11246,14009,7943,8473,14189,3073,4504,2043,3038,861,691
ACADS,14674,11507,11864,14483,5529,2309,13031,9184,10245,1409,14664,7584,12663,6650,4813,1160,4012,3416,912,5688
ACADSB,6148,7094,10128,13153,6917,4613,9802,14378,11284,5597,5833,12317,14166,8134,6803,4251,4460,3401,2133,2661
ACADVL,11426,10712,8544,11017,10761,7824,12030,5520,9745,6910,12187,12933,14223,4731,866,2780,1865,2124,3314,3701
ACAN,14960,16138,1267,6633,3520,16067,5069,769,8493,9907,7498,5491,5873,3448,7199,8158,11786,13541,7203,9440
ACAP1,12499,7251,12787,13908,13392,9606,3980,7173,13117,14488,3626,6020,687,6616,3193,1604,3408,14607,7068,4564
ACAP2,5406,6512,8385,11074,12187,7533,7031,9907,12689,12927,13085,7785,12782,9005,1693,2310,951,2894,1532,2349
ACAP3,3302,8268,4074,10442,14844,4163,5702,14667,6211,8471,12427,11411,14039,13876,3037,2138,1696,1699,2681,2346
ACAT1,10212,6999,7737,14395,13102,10843,8460,7723,13509,7940,8592,9642,6713,11418,779,3735,1677,3293,699,1805
ACAT2,9005,2776,15877,5070,7109,5442,14292,6365,4712,11651,13624,6879,4858,4083,7353,6806,6116,5883,8440,14042
ACBD3,7901,10946,11913,12341,7328,6594,11824,8976,11684,9346,6757,9736,6759,11460,389,1602,1669,2178,7488,7886
ACBD4,13223,13303,4433,14525,2275,9567,9286,11285,12366,1641,14493,8260,13872,10650,1322,3177,473,2529,2040,1425
ACBD5,8254,14278,13910,8536,5545,8032,13500,12029,9212,6341,11299,7193,8514,7992,2011,3298,2597,4021,1432,1589
ACBD6,10965,11537,7893,13492,12540,5909,4910,11653,13172,6860,12228,7878,14355,11218,1775,982,1690,1046,463,773
ACBD7,7303,3016,2004,473,1758,16223,12137,7119,5337,3568,15621,5151,1574,1609,14418,11457,13204,15245,13788,14070
ACCS,1254,9773,3996,11909,15071,3542,1013,14119,14080,12209,15466,3718,15515,3530,4075,6613,4995,3251,3362,5376
ACCSL,14593,4317,15727,13753,1179,15740,6595,2936,4339,4234,12667,3213,6372,5539,7435,9005,8536,6298,5333,12296
ACD,6829,4339,7782,3266,10424,8876,5268,2909,7159,14037,11034,14249,15554,4673,1420,4390,2527,5322,14118,12228
ACE,16128,15977,368,12925,4166,5386,3436,1955,16247,889,2755,562,3642,2526,14616,15444,14234,16124,15246,13479
ACE2,12718,5522,14787,13103,266,12981,2858,517,7829,8660,8427,2330,9894,15674,7030,5371,8540,12199,10124,11782
ACER1,15785,12358,3664,7852,5781,15230,9962,608,8658,13846,13558,3668,7932,4790,4908,4105,4087,10151,5443,1719
ACER2,13345,8916,11320,14541,13398,12641,3229,8460,15886,4570,3420,1411,14171,11590,2239,1940,3611,5657,2758,5257
ACER3,9289,11730,13108,12427,8539,4919,4928,6458,4818,8932,14165,13446,3809,6764,8435,5148,5805,3086,5757,5627
ACHE,2779,8611,11484,5158,4918,3229,14830,9274,1636,6696,3860,14250,7281,13577,7230,9624,8877,8860,10792,10904
ACIN1,8160,10458,10871,11996,8481,9515,4211,9172,9923,12341,9915,6746,9334,14170,5949,2163,3367,1289,2549,2162
ACKR2,16208,7756,537,44,10821,12477,9567,1261,234,14249,12311,6603,14010,13430,6895,9492,3819,15775,7287,11943
ACKR3,192,104,617,81,3190,1324,854,2972,5581,3757,15180,969,16204,455,15783,16221,16060,16080,15992,14290
ACKR4,14791,3347,3312,6427,12708,10117,718,3756,15268,8801,13571,7154,15272,14768,8675,2014,2893,7654,507,760
ACLY,5877,8378,14789,4844,2882,2660,12945,6675,2112,12572,7302,14204,3126,5060,9179,8894,9883,10528,11614,14150
ACMSD,3597,14120,1947,638,3072,11222,2348,1050,11331,15858,5202,8385,15737,7484,10027,10166,10445,15181,9605,11637
ACN9,14215,3475,15602,1688,5075,8536,8190,9842,3009,2189,6240,15418,6238,6134,14628,9051,13105,6578,7862,13592
ACO1,9437,2607,15090,14895,12221,5902,8061,12830,10815,12202,5133,7326,3884,3801,9843,6311,6389,2764,3152,12549
ACO2,4324,11771,12316,7833,3904,7160,12126,9578,8139,9034,12396,10889,8017,9876,3082,944,1149,4177,5351,6846
ACOT1,15561,2237,6915,15367,7385,11140,3446,177,6686,14618,12977,40,352,13997,13444,9998,13463,15482,11211,7432
ACOT11,10961,8536,13608,15644,7371,6443,1188,5156,9543,11172,14696,5121,13648,5533,5608,2003,4706,6116,3074,3456
ACOT12,14856,353,6194,14655,6681,15350,3141,4020,10553,14885,10354,3885,1198,2236,8963,8411,7897,14129,10470,9394
ACOT13,8579,8722,11818,4515,4096,6149,9231,6764,8811,12597,10838,13773,9786,6295,5732,4910,6359,4240,5344,8277
ACOT2,260,10892,5061,14825,5698,12018,1768,6455,7057,14005,4757,12422,15111,4713,11877,5465,6910,13107,3165,5851
ACOT4,15067,16166,1228,16051,5058,36,641,7072,1337,8206,14918,5617,11361,951,10435,10791,13642,13617,13784,7971
ACOT6,10033,14089,8923,14898,2078,10004,1824,1802,14101,6930,14613,5464,11347,12213,5034,3218,6526,4676,2251,3420
